OtherName,Name,Vector,Crossings,Code
9a_41,9_1,"10,7,10,7,7,9,9,7,7,7,9,9,7,8,10,9,10",9,0
9a_27,9_2,"10,7,10,7,10,7,9,7,7,7,9,9,7,8,10,9,10",9,0
9a_38,9_3,"10,7,10,7,10,7,7,7,7,10,9,9,7,8,10,9,10",9,0
9a_35,9_4,"10,7,10,7,10,7,9,7,7,10,7,9,7,9,8,9,10",9,0
9a_36,9_5,"10,7,10,7,7,7,9,7,7,7,9,9,10,8,10,9,10",9,0
9a_23,9_6,"10,7,10,7,10,7,7,7,9,10,7,9,7,8,10,9,10",9,0
9a_26,9_7,"10,7,10,7,10,7,7,10,7,10,7,9,7,8,10,9,10",9,0
9a_8,9_8,"10,7,10,7,10,7,7,7,7,7,9,9,10,8,10,9,10",9,0
9a_33,9_9,"10,7,10,7,10,7,7,10,7,10,7,7,10,9,8,9,10",9,0
9a_39,9_10,"10,7,10,7,10,7,7,10,7,10,7,7,10,8,10,9,10",9,0
9a_20,9_11,"10,7,10,7,10,7,7,7,7,7,9,9,7,9,10,9,10",9,0
9a_22,9_12,"10,7,10,7,10,7,7,7,7,10,7,9,10,9,8,9,10",9,0
9a_34,9_13,"10,7,10,7,10,7,7,7,7,10,9,7,7,9,10,9,10",9,0
9a_17,9_14,"10,7,10,7,10,7,7,10,7,10,7,9,10,9,8,7,10",9,0
9a_10,9_15,"10,7,10,7,10,7,7,10,9,10,7,7,7,8,10,9,10",9,0
9a_25,9_16,"10,7,10,7,10,7,7,10,9,8,7,9,10,9,10,7,8",9,0
9a_14,9_17,"10,7,10,7,7,7,7,7,8,10,9,9,10,7,10,9,10",9,0
9a_24,9_18,"10,7,10,7,10,7,7,7,7,10,9,9,10,9,10,7,8",9,0
9a_3,9_19,"10,7,10,7,10,7,7,10,7,7,7,9,10,8,10,9,10",9,0
9a_19,9_20,"10,7,10,7,10,7,7,10,7,10,7,9,10,9,10,7,8",9,0
9a_21,9_21,"10,7,10,7,10,7,7,10,7,10,7,7,7,9,10,9,10",9,0
9a_2,9_22,"10,7,10,7,10,7,7,10,9,10,7,7,8,9,10,7,10",9,0
